value_rank,domain,word,length,google_20k_rank,is_google_20k
1,about.ai,about,5,36,yes
2,search.ai,search,6,41,yes
3,other.ai,other,5,46,yes
4,which.ai,which,5,57,yes
5,their.ai,their,5,58,yes
6,there.ai,there,5,63,yes
7,first.ai,first,5,83,yes
8,would.ai,would,5,86,yes
9,these.ai,these,5,93,yes
10,click.ai,click,5,94,yes
11,price.ai,price,5,101,yes
12,people.ai,people,6,105,yes
13,state.ai,state,5,111,yes
14,health.ai,health,6,117,yes
15,world.ai,world,5,119,yes
16,music.ai,music,5,129,yes
17,should.ai,should,6,134,yes
18,system.ai,system,6,136,yes
19,policy.ai,policy,6,142,yes
20,number.ai,number,6,143,yes
21,please.ai,please,6,145,yes
22,after.ai,after,5,150,yes
23,video.ai,video,5,156,yes
24,where.ai,where,5,159,yes
25,public.ai,public,6,162,yes
26,school.ai,school,6,165,yes
27,links.ai,links,5,169,yes
28,review.ai,review,6,171,yes
29,order.ai,order,5,173,yes
30,group.ai,group,5,181,yes
31,under.ai,under,5,190,yes
32,could.ai,could,5,208,yes
33,great.ai,great,5,209,yes
34,united.ai,united,6,210,yes
35,hotel.ai,hotel,5,211,yes
36,center.ai,center,6,216,yes
37,store.ai,store,5,219,yes
38,travel.ai,travel,6,220,yes
39,report.ai,report,6,224,yes
40,member.ai,member,6,226,yes
41,before.ai,before,6,230,yes
42,right.ai,right,5,234,yes
43,local.ai,local,5,237,yes
44,those.ai,those,5,238,yes
45,office.ai,office,6,241,yes
46,design.ai,design,6,245,yes
47,posted.ai,posted,6,247,yes
48,within.ai,within,6,251,yes
49,phone.ai,phone,5,255,yes
50,forum.ai,forum,5,261,yes
51,family.ai,family,6,262,yes
52,based.ai,based,5,265,yes
53,black.ai,black,5,271,yes
54,check.ai,check,5,272,yes
55,index.ai,index,5,276,yes
56,being.ai,being,5,277,yes
57,today.ai,today,5,284,yes
58,south.ai,south,5,286,yes
59,found.ai,found,5,295,yes
60,sports.ai,sports,6,296,yes
61,house.ai,house,5,297,yes
